Room ID,Room Name,Title,Description (EN),Description (FR),Max Occupancy,Bed Type,Size (m²)
R01,Deluxe Triple Room,"Deluxe Triple Room, Garden View","44 m² ground-floor room with king bed, sofa bed, and garden view. Furnished patio access.","44 m² au rez-de-chaussée avec lit king, canapé-lit et vue jardin. Accès patio meublé.",3,1x King; 1x Sofa Bed,44
R02,Deluxe Double Room,"Deluxe Double Room, Garden View","41 m² room with king bed, garden view, and stunning 40 m² private terrace. Ground floor.","41 m² avec lit king, vue jardin et grande terrasse privée de 40 m². Rez-de-chaussée.",2,1x King,41
R03,Deluxe Triple Room,"Deluxe Triple Room, Garden View","44 m² ground-floor room with king bed, sofa bed, garden view, and private terrace.","44 m² rez-de-chaussée avec lit king, canapé-lit, vue jardin et terrasse privée.",3,1x King; 1x Sofa Bed,44
R04,Double Room Superior,"Double Room Superior, Pool Access","Superior room with king bed, direct pool access, and furnished patio. 24 m².","Chambre supérieure avec lit king, accès direct piscine et patio meublé. 24 m².",2,1x King,24
R05,Double Room Superior,"Double Room Superior, Pool View","First-floor superior room with king bed, pool view, and furnished balcony. 24 m².","Chambre supérieure au 1er étage avec lit king, vue piscine et balcon meublé. 24 m².",2,1x King,24
R06,Executive Suite,"Executive Suite, Pool & Atlas Views","Executive suite with king bed, sofa bed, and stunning 100 m² terrace. Pool, Atlas, and garden views.","Suite exécutive avec lit king, canapé-lit et terrasse de 100 m². Vues piscine, Atlas et jardin.",3,1x King; 1x Sofa Bed,40
R07,Deluxe King Suite,"Deluxe King Suite, Mountain View","61 m² luxury suite with separate living/dining, fireplace, king bed, 2 sofa beds, and 60 m² terrace.","Suite 61 m² avec salon/salle à manger séparés, cheminée, lit king, 2 canapés-lits et terrasse 60 m².",4,1x King; 2x Sofa Bed,61
R08,Deluxe Triple Room,"Deluxe Triple Room, Garden View","First-floor 44 m² room with king bed, sofa bed, garden view, and furnished balcony.","44 m² au 1er étage avec lit king, canapé-lit, vue jardin et balcon meublé.",3,1x King; 1x Sofa Bed,44
R09,Family Suite,"Family Suite, Pool Access","Ground-floor family suite with king bed, 2 sofa beds, direct pool access, double terrace, and fireplace.","Suite familiale rez-de-chaussée avec lit king, 2 canapés-lits, accès piscine, double terrasse et cheminée.",4,1x King; 2x Sofa Bed,41
R10,Suite,"Suite, Pool Access","Spacious 41 m² suite with king bed, sofa bed, direct pool access, and double terrace. Ground floor.","Suite spacieuse de 41 m² avec lit king, canapé-lit, accès direct piscine et double terrasse.",3,1x King; 1x Sofa Bed,41
R11,Family Suite,"Family Suite, Pool Access","Ground-floor family suite with living room, fireplace, king bed, 2 sofa beds, and direct pool access.","Suite familiale avec salon, cheminée, lit king, 2 canapés-lits spacieux et accès direct piscine.",4,1x King; 2x Sofa Bed,41
R12,Presidential Suite,"Presidential Suite, Pool View","Luxurious 82 m² suite with separate dining/living areas, Italian shower, private bar, and double terrace.","Suite luxueuse de 82 m² avec salle à manger/salon séparés, douche italienne, bar privé et double terrasse.",4,1x King; 2x Sofa Bed,82
